packet_unit_id,coder_id,task_type,doc_id,sentence_id,sentence_text,span_text,span_char_start,span_char_end,mipvu_decision,cluster_id,source_domain,target_domain,entailments,fantasy_type,violence_logic,obligatory_frame,obligatory_frame_notes,absence_flags,absence_notes,confidence_score,ambiguity_flag,ambiguity_notes,rival_reading,coder_notes
stage4h_field_00002,,field_agreement,doc_001,doc_001_s01_p02_s04,"We toiled not in the acquirement or establishment of them--they are a legacy bequeathed us, by a _once_ hardy, brave, and patriotic, but _now_ lamented and departed race of ancestors.","a legacy bequeathed us, by a _once_ hardy, brave, and patriotic, but _now_ lamented and departed race of ancestors",68,182,,,,,,,,,,,,,,,,
stage4h_field_00003,,field_agreement,doc_001,doc_001_s01_p04_s05,"As a nation of freemen, we must live through all time, or die by suicide.","live through all time, or die by suicide",32,72,,,,,,,,,,,,,,,,
stage4h_field_00004,,field_agreement,doc_001,doc_001_s01_p12_s03,"As the patriots of seventy-six did to the support of the Declaration of Independence, so to the support of the Constitution and Laws, let every American pledge his life, his property, and his sacred honor;--let every man remember that to violate the law, is to trample on the blood of his father, and to tear the character of his own, and his children's liberty.",trample on the blood of his father,261,295,,,,,,,,,,,,,,,,
stage4h_field_00005,,field_agreement,doc_001,doc_001_s01_p17_s06,"Through that period, it was felt by all, to be an undecided experiment; now, it is understood to be a successful one.--Then, all that sought celebrity and fame, and distinction, expected to find them in the success of that experiment.","an undecided experiment; now, it is understood to be a successful one",47,116,,,,,,,,,,,,,,,,
stage4h_field_00006,,field_agreement,doc_001,doc_001_s01_p17_s08,"Their ambition aspired to display before an admiring world, a practical demonstration of the truth of a proposition, which had hitherto been considered, at best no better, than problematical; namely, _the capability of a people to govern themselves_.","a practical demonstration of the truth of a proposition, which had hitherto been considered, at best no better, than problematical; namely, _the capability of a people to govern themselves_",60,249,,,,,,,,,,,,,,,,
stage4h_field_00007,,field_agreement,doc_001,doc_001_s01_p17_s12,The experiment is successful; and thousands have won their deathless names in making it so.,The experiment is successful,0,28,,,,,,,,,,,,,,,,
stage4h_field_00008,,field_agreement,doc_001,doc_001_s01_p23_s01,"They _were_ the pillars of the temple of liberty; and now, that they have crumbled away, that temple must fall, unless we, their descendants, supply their places with other pillars, hewn from the solid quarry of sober reason.","the pillars of the temple of liberty; and now, that they have crumbled away, that temple must fall, unless we, their descendants, supply their places with other pillars",12,180,,,,,,,,,,,,,,,,
stage4h_field_00009,,field_agreement,doc_006g,doc_006g_s02_p33_s04,``A house divided against itself cannot stand.'' I believe this government cannot endure permanently half Slave and half Free.,A house divided against itself cannot stand,2,45,,,,,,,,,,,,,,,,
stage4h_field_00010,,field_agreement,doc_006g,doc_006g_s02_p33_s05,I do not expect the house to fall---but I do expect it will cease to be divided.,the house to fall---but I do expect it will cease to be divided,16,79,,,,,,,,,,,,,,,,
stage4h_field_00011,,field_agreement,doc_006g,doc_006g_s02_p33_s06,"It will become all one thing, or all the other.","become all one thing, or all the other",8,46,,,,,,,,,,,,,,,,
stage4h_field_00012,,field_agreement,doc_006g,doc_006g_s02_p38_s04,"We might, by arresting the further spread of it and placing it where the fathers originally placed it, put it where the public mind should rest in the belief that it was in the course of ultimate extinction.",placing it where the fathers originally placed it,52,101,,,,,,,,,,,,,,,,
stage4h_field_00013,,field_agreement,doc_006g,doc_006g_s02_p38_s09,"I entertain the opinion upon evidence sufficient to my mind, that the fathers of this Government placed that institution where the public mind did rest in the belief that it was in the course of ultimate extinction.",the fathers of this Government placed that institution where the public mind did rest in the belief that it was in the course of ultimate extinction,66,214,,,,,,,,,,,,,,,,
stage4h_field_00014,,field_agreement,doc_006g,doc_006g_s02_p43_s05,[Enthusiastic applause.] This is part of the evidence that the fathers of the Government expected and intended the institution of slavery to come to an end.,the fathers of the Government expected and intended the institution of slavery to come to an end,59,155,,,,,,,,,,,,,,,,
stage4h_field_00015,,field_agreement,doc_006g,doc_006g_s02_p44_s04,"It is not true that our fathers, as Judge Douglas assumes, made this government part slave and part free.","our fathers, as Judge Douglas assumes, made this government part slave and part free",20,104,,,,,,,,,,,,,,,,
stage4h_field_00016,,field_agreement,doc_006g,doc_006g_s02_p56_s07,"You may have a wen or a cancer upon your person and not be able to cut it out lest you bleed to death; but surely it is no way to cure it, to engraft it and spread it over your whole body.","a wen or a cancer upon your person and not be able to cut it out lest you bleed to death; but surely it is no way to cure it, to engraft it and spread it over your whole body",13,187,,,,,,,,,,,,,,,,
stage4h_field_00017,,field_agreement,doc_010,doc_010_s01_p16_s02,"It presents to the whole family of man, the question, whether a constitutional republic, or a democracy---a government of the people, by the same people---can, or cannot, maintain its territorial integrity, against its own domestic foes.","whether a constitutional republic, or a democracy---a government of the people, by the same people---can, or cannot, maintain its territorial integrity, against its own domestic foes",54,236,,,,,,,,,,,,,,,,
stage4h_field_00018,,field_agreement,doc_010,doc_010_s01_p36_s07,"The express plighting of faith, by each and all of the original thirteen, in the Articles of Confederation, two years later, that the Union shall",plighting of faith,12,30,,,,,,,,,,,,,,,,
stage4h_field_00019,,field_agreement,doc_010,doc_010_s01_p46_s04,"Our adversaries have adopted some Declarations of Independence; in which, unlike the good old one, penned by Jefferson, they omit the words ``all men are created equal.'' Why?","unlike the good old one, penned by Jefferson",74,118,,,,,,,,,,,,,,,,
stage4h_field_00020,,field_agreement,doc_010,doc_010_s01_p46_s05,"They have adopted a temporary national constitution, in the preamble of which, unlike our good old one, signed by Washington, they omit ``We, the People,'' and substitute ``We, the deputies of the sovereign and independent States.'' Why?","unlike our good old one, signed by Washington",79,124,,,,,,,,,,,,,,,,
stage4h_field_00021,,field_agreement,doc_010,doc_010_s01_p51_s01,Our popular government has often been called an experiment.,Our popular government has often been called an experiment,0,58,,,,,,,,,,,,,,,,
stage4h_field_00022,,field_agreement,doc_010,doc_010_s01_p51_s02,"Two points in it, our people have already settled---the successful establishing, and the successful administering of it.","Two points in it, our people have already settled---the successful establishing, and the successful administering of it",0,119,,,,,,,,,,,,,,,,
stage4h_field_00023,,field_agreement,doc_010,doc_010_s01_p51_s03,One still remains---its successful maintenance against a formidable [internal] attempt to overthrow it.,One still remains---its successful maintenance against a formidable [internal] attempt to overthrow it,0,102,,,,,,,,,,,,,,,,
stage4h_field_00024,,field_agreement,doc_010,doc_010_s01_p51_s04,"It is now for them to demonstrate to the world, that those who can fairly carry an election, can also suppress a rebellion---that ballots are the rightful, and peaceful, successors of bullets; and that when ballots have fairly, and constitutionally, decided, there can be no successful appeal, back to bullets; that there can be no successful appeal, except to ballots themselves, at succeeding elections.","It is now for them to demonstrate to the world, that those who can fairly carry an election, can also suppress a rebellion",0,122,,,,,,,,,,,,,,,,
stage4h_field_00025,,field_agreement,doc_010,doc_010_s01_p56_s01,"And having thus chosen our course, without guile, and with pure purpose, let us renew our trust in God, and go forward without fear, and with manly hearts.",renew our trust in God,80,102,,,,,,,,,,,,,,,,
stage4h_field_00026,,field_agreement,doc_017,doc_017_s01_p01_s01,"Four score and seven years ago our fathers brought forth on this continent, a new nation, conceived in Liberty, and dedicated to the proposition that all men are created equal.","brought forth on this continent, a new nation, conceived in Liberty",43,110,,,,,,,,,,,,,,,,
stage4h_field_00027,,field_agreement,doc_017,doc_017_s01_p01_s01,"Four score and seven years ago our fathers brought forth on this continent, a new nation, conceived in Liberty, and dedicated to the proposition that all men are created equal.",dedicated to the proposition that all men are created equal,116,175,,,,,,,,,,,,,,,,
stage4h_field_00028,,field_agreement,doc_017,doc_017_s01_p01_s01,"Four score and seven years ago our fathers brought forth on this continent, a new nation, conceived in Liberty, and dedicated to the proposition that all men are created equal.",our fathers,31,42,,,,,,,,,,,,,,,,
stage4h_field_00029,,field_agreement,doc_017,doc_017_s01_p02_s01,"Now we are engaged in a great civil war, testing whether that nation, or any nation so conceived and so dedicated, can long endure.",so conceived and so dedicated,84,113,,,,,,,,,,,,,,,,
stage4h_field_00030,,field_agreement,doc_017,doc_017_s01_p02_s01,"Now we are engaged in a great civil war, testing whether that nation, or any nation so conceived and so dedicated, can long endure.","testing whether that nation, or any nation so conceived and so dedicated, can long endure",41,130,,,,,,,,,,,,,,,,
stage4h_field_00031,,field_agreement,doc_017,doc_017_s01_p02_s03,"We have come to dedicate a portion of that field, as a final resting place for those who here gave their lives that that nation might live.",gave their lives that that nation might live,94,138,,,,,,,,,,,,,,,,
stage4h_field_00032,,field_agreement,doc_017,doc_017_s01_p03_s01,"But, in a larger sense, we can not dedicate—we can not consecrate—we can not hallow—this ground.",we can not dedicate—we can not consecrate—we can not hallow—this ground,24,95,,,,,,,,,,,,,,,,
stage4h_field_00033,,field_agreement,doc_017,doc_017_s01_p03_s02,"The brave men, living and dead, who struggled here, have consecrated it, far above our poor power to add or detract.","have consecrated it, far above our poor power to add or detract",52,115,,,,,,,,,,,,,,,,
stage4h_field_00034,,field_agreement,doc_017,doc_017_s01_p03_s04,"It is for us the living, rather, to be dedicated here to the unfinished work which they who fought here have thus far so nobly advanced.",dedicated here to the unfinished work which they who fought here have thus far so nobly advanced,39,135,,,,,,,,,,,,,,,,
stage4h_field_00035,,field_agreement,doc_017,doc_017_s01_p03_s05,"It is rather for us to be here dedicated to the great task remaining before us—that from these honored dead we take increased devotion to that cause for which they gave the last full measure of devotion—that we here highly resolve that these dead shall not have died in vain—that this nation, under God, shall have a new birth of freedom—and that government of the people, by the people, for the people, shall not perish from the earth.",a new birth of freedom,315,337,,,,,,,,,,,,,,,,
stage4h_field_00036,,field_agreement,doc_017,doc_017_s01_p03_s05,"It is rather for us to be here dedicated to the great task remaining before us—that from these honored dead we take increased devotion to that cause for which they gave the last full measure of devotion—that we here highly resolve that these dead shall not have died in vain—that this nation, under God, shall have a new birth of freedom—and that government of the people, by the people, for the people, shall not perish from the earth.",shall not perish from the earth,404,435,,,,,,,,,,,,,,,,
stage4h_field_00037,,field_agreement,doc_017,doc_017_s01_p03_s05,"It is rather for us to be here dedicated to the great task remaining before us—that from these honored dead we take increased devotion to that cause for which they gave the last full measure of devotion—that we here highly resolve that these dead shall not have died in vain—that this nation, under God, shall have a new birth of freedom—and that government of the people, by the people, for the people, shall not perish from the earth.",the last full measure of devotion,169,202,,,,,,,,,,,,,,,,
stage4h_field_00038,,field_agreement,doc_017,doc_017_s01_p03_s05,"It is rather for us to be here dedicated to the great task remaining before us—that from these honored dead we take increased devotion to that cause for which they gave the last full measure of devotion—that we here highly resolve that these dead shall not have died in vain—that this nation, under God, shall have a new birth of freedom—and that government of the people, by the people, for the people, shall not perish from the earth.",these dead shall not have died in vain,236,274,,,,,,,,,,,,,,,,
stage4h_field_00039,,field_agreement,doc_021,doc_021_s01_p02_s03,"Now, at the expiration of four years, during which public declarations have been constantly called forth on every point and phase of the great contest which still absorbs the attention and engrosses the energies of the nation, little that is new could be presented.",absorbs the attention and engrosses the energies of the nation,163,225,,,,,,,,,,,,,,,,
stage4h_field_00040,,field_agreement,doc_021,doc_021_s01_p03_s03,"While the inaugural address was being delivered from this place, devoted altogether to saving the Union without war, insurgent agents were in the city seeking to destroy it without war—seeking to dissolve the Union and divide effects by negotiation.",dissolve the Union,196,214,,,,,,,,,,,,,,,,
stage4h_field_00041,,field_agreement,doc_021,doc_021_s01_p03_s04,"Both parties deprecated war, but one of them would make war rather than let the nation survive, and the other would accept war rather than let it perish, and the war came.",let it perish,139,152,,,,,,,,,,,,,,,,
stage4h_field_00042,,field_agreement,doc_021,doc_021_s01_p03_s04,"Both parties deprecated war, but one of them would make war rather than let the nation survive, and the other would accept war rather than let it perish, and the war came.",let the nation survive,72,94,,,,,,,,,,,,,,,,
stage4h_field_00043,,field_agreement,doc_021,doc_021_s01_p03_s04,"Both parties deprecated war, but one of them would make war rather than let the nation survive, and the other would accept war rather than let it perish, and the war came.",the war came,158,170,,,,,,,,,,,,,,,,
stage4h_field_00044,,field_agreement,doc_021,doc_021_s01_p04_s04,"To strengthen, perpetuate, and extend this interest was the object for which the insurgents would rend the Union even by war, while the Government claimed no right to do more than to restrict the territorial enlargement of it.",rend the Union,98,112,,,,,,,,,,,,,,,,
