run_id,model_id,provider,model_name,model_version,run_date,operator,input_packet_id,input_packet_hash,prompt_hash,temperature,notes,task_type,doc_id,sentence_id,span_id,metaphor_present,lexical_unit,lexical_unit_start,lexical_unit_end,source_domain,target_domain,cluster_id,koenigsberg_function,violence_logic,obligatory_frame,agency_or_absence_flag,confidence,ambiguity_flag,rival_reading,justification
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,field_agreement,doc_001,doc_001_s01_p17_s08,stage4m_unit_00061,,"a practical demonstration of the truth of a proposition, which had hitherto been considered, at best no better, than problematical; namely, _the capability of a people to govern themselves_",,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,field_agreement,doc_001,doc_001_s01_p17_s12,stage4m_unit_00062,,The experiment is successful,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,field_agreement,doc_001,doc_001_s01_p23_s01,stage4m_unit_00063,,"the pillars of the temple of liberty; and now, that they have crumbled away, that temple must fall, unless we, their descendants, supply their places with other pillars",,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,field_agreement,doc_006g,doc_006g_s02_p33_s04,stage4m_unit_00064,,A house divided against itself cannot stand,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,field_agreement,doc_006g,doc_006g_s02_p33_s05,stage4m_unit_00065,,the house to fall---but I do expect it will cease to be divided,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,field_agreement,doc_006g,doc_006g_s02_p33_s06,stage4m_unit_00066,,"become all one thing, or all the other",,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,field_agreement,doc_006g,doc_006g_s02_p38_s04,stage4m_unit_00067,,placing it where the fathers originally placed it,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,field_agreement,doc_006g,doc_006g_s02_p38_s09,stage4m_unit_00068,,the fathers of this Government placed that institution where the public mind did rest in the belief that it was in the course of ultimate extinction,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,field_agreement,doc_006g,doc_006g_s02_p43_s05,stage4m_unit_00069,,the fathers of the Government expected and intended the institution of slavery to come to an end,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,field_agreement,doc_006g,doc_006g_s02_p44_s04,stage4m_unit_00070,,"our fathers, as Judge Douglas assumes, made this government part slave and part free",,,,,,,,,,,,,
